%eval_id interface              R              S              F           rmse       rmse_std 
36           NO_ID  0.02025806452  0.03322580645          0.001  0.02384946513  0.05551924037 
37           NO_ID  0.02667741935  0.03322580645          0.001  0.02475871262  0.05897497536 
38           NO_ID  0.03309677419  0.03322580645          0.001  0.02426129844  0.05909569178 
39           NO_ID  0.03951612903  0.03322580645          0.001  0.02472832978  0.05001745737 
40           NO_ID  0.04593548387  0.03322580645          0.001  0.02187975333  0.04835468599 
41           NO_ID  0.05235483871  0.03322580645          0.001  0.02432652098  0.05568429875 
42           NO_ID  0.05877419355  0.03322580645          0.001  0.02204932269  0.05940155658 
43           NO_ID  0.06519354839  0.03322580645          0.001  0.02265194271  0.05606643692 
44           NO_ID  0.07161290323  0.03322580645          0.001  0.02438138769  0.05463780322 
45           NO_ID  0.07803225806  0.03322580645          0.001  0.02360873328  0.04884696939 
46           NO_ID   0.0844516129  0.03322580645          0.001  0.02108427236  0.05043124949 
47           NO_ID  0.09087096774  0.03322580645          0.001  0.02108522334  0.04986517281 
48           NO_ID  0.09729032258  0.03322580645          0.001  0.01992762598  0.04177569688 
49           NO_ID   0.1037096774  0.03322580645          0.001  0.02143895895  0.06043513306 
50           NO_ID   0.1101290323  0.03322580645          0.001  0.02171298556  0.05223092638 
51           NO_ID   0.1165483871  0.03322580645          0.001  0.02022479616  0.05486101979 
52           NO_ID   0.1229677419  0.03322580645          0.001  0.02138771508  0.05016348269 
53           NO_ID   0.1293870968  0.03322580645          0.001  0.02247364815  0.06175214543 
54           NO_ID   0.1358064516  0.03322580645          0.001  0.02252266505  0.05751246685 
55           NO_ID   0.1422258065  0.03322580645          0.001  0.02243309955  0.05700019506 
56           NO_ID   0.1486451613  0.03322580645          0.001  0.02030465469  0.05244923915 
57           NO_ID   0.1550645161  0.03322580645          0.001  0.01852269719    0.049181846 
58           NO_ID    0.161483871  0.03322580645          0.001    0.020952312  0.06465911444 
59           NO_ID   0.1679032258  0.03322580645          0.001  0.02044909524  0.05342554195 
60           NO_ID   0.1743225806  0.03322580645          0.001  0.02206059931  0.05967455926 
61           NO_ID   0.1807419355  0.03322580645          0.001  0.01968130336   0.0490977087 
62           NO_ID   0.1871612903  0.03322580645          0.001  0.01840125709  0.03246007716 
63           NO_ID   0.1935806452  0.03322580645          0.001  0.01999216792  0.05686397048 
64           NO_ID            0.2  0.03322580645          0.001  0.02069609098  0.06404110721 
65           NO_ID          0.001   0.0654516129          0.001  0.03138627294  0.03834333819 
66           NO_ID 0.007419354839   0.0654516129          0.001  0.03029232992  0.03923559732 
67           NO_ID  0.01383870968   0.0654516129          0.001  0.02924703508  0.04652960205 
68           NO_ID  0.02025806452   0.0654516129          0.001  0.02960555285  0.04811783949 
69           NO_ID  0.02667741935   0.0654516129          0.001  0.02922595837  0.03913916728 
70           NO_ID  0.03309677419   0.0654516129          0.001  0.03013921307    0.055039024 
71           NO_ID  0.03951612903   0.0654516129          0.001   0.0300806056  0.04759409228 
72           NO_ID  0.04593548387   0.0654516129          0.001  0.02849728734  0.04407297154 
73           NO_ID  0.05235483871   0.0654516129          0.001  0.02954855594  0.04804073648 
74           NO_ID  0.05877419355   0.0654516129          0.001  0.02840524216  0.05459215975 
75           NO_ID  0.06519354839   0.0654516129          0.001   0.0286051373  0.04885507188 
76           NO_ID  0.07161290323   0.0654516129          0.001  0.02980737186   0.0348401917 
77           NO_ID  0.07803225806   0.0654516129          0.001  0.02834249704  0.04304543855 
78           NO_ID   0.0844516129   0.0654516129          0.001  0.02990149187  0.05176201826 
79           NO_ID  0.09087096774   0.0654516129          0.001  0.02831618934   0.0535935956 
80           NO_ID  0.09729032258   0.0654516129          0.001  0.02804296134  0.03704000897 
81           NO_ID   0.1037096774   0.0654516129          0.001  0.02736033769   0.0428295379 
82           NO_ID   0.1101290323   0.0654516129          0.001  0.02882275914  0.05306192086 
83           NO_ID   0.1165483871   0.0654516129          0.001   0.0275319987  0.05277580574 
84           NO_ID   0.1229677419   0.0654516129          0.001  0.02862092692   0.0533258728 
85           NO_ID   0.1293870968   0.0654516129          0.001  0.02635255171  0.04321466507 
86           NO_ID   0.1358064516   0.0654516129          0.001  0.02737694066  0.05404485685 
87           NO_ID   0.1422258065   0.0654516129          0.001  0.02767410627  0.04592253755 
88           NO_ID   0.1486451613   0.0654516129          0.001  0.02802424621    0.060640274 
89           NO_ID   0.1550645161   0.0654516129          0.001  0.02633180867  0.03923755681 
90           NO_ID    0.161483871   0.0654516129          0.001  0.02664938955  0.05005893307 
91           NO_ID   0.1679032258   0.0654516129          0.001   0.0244212985  0.03652804996 
92           NO_ID   0.1743225806   0.0654516129          0.001  0.02672189001  0.05732676091 
93           NO_ID   0.1807419355   0.0654516129          0.001   0.0255491093  0.05103920671 
94           NO_ID   0.1871612903   0.0654516129          0.001  0.02576150277  0.04644290167 
95           NO_ID   0.1935806452   0.0654516129          0.001  0.02576814181  0.04746900313 
