%eval_id interface              R              S              F           rmse       rmse_std 
91           NO_ID   0.1679032258   0.0654516129          0.001  0.02712354901  0.04376024665 
92           NO_ID   0.1743225806   0.0654516129          0.001  0.02606791093  0.04635228629 
93           NO_ID   0.1807419355   0.0654516129          0.001   0.0263397196  0.04096402479 
94           NO_ID   0.1871612903   0.0654516129          0.001  0.02631777328  0.04858720015 
95           NO_ID   0.1935806452   0.0654516129          0.001  0.02580779366  0.04985806136 
96           NO_ID            0.2   0.0654516129          0.001  0.02570095971  0.04483593851 
97           NO_ID          0.001  0.09767741935          0.001  0.03489356621  0.04871965009 
98           NO_ID 0.007419354839  0.09767741935          0.001  0.03387957775  0.04341536625 
99           NO_ID  0.01383870968  0.09767741935          0.001  0.03373912722  0.04758407536 
100          NO_ID  0.02025806452  0.09767741935          0.001   0.0335434522  0.04524701541 
101          NO_ID  0.02667741935  0.09767741935          0.001  0.03361950685  0.04673274699 
102          NO_ID  0.03309677419  0.09767741935          0.001  0.03290412786  0.04432141413 
103          NO_ID  0.03951612903  0.09767741935          0.001  0.03228865673  0.04409000691 
104          NO_ID  0.04593548387  0.09767741935          0.001   0.0328171222  0.04969068933 
105          NO_ID  0.05235483871  0.09767741935          0.001  0.03199518974  0.04057608639 
106          NO_ID  0.05877419355  0.09767741935          0.001   0.0320268016  0.04567303865 
107          NO_ID  0.06519354839  0.09767741935          0.001  0.03327970131  0.04889917851 
108          NO_ID  0.07161290323  0.09767741935          0.001  0.03141782096  0.04675382011 
109          NO_ID  0.07803225806  0.09767741935          0.001  0.03322423836  0.04647816903 
110          NO_ID   0.0844516129  0.09767741935          0.001  0.03208645256  0.05320457276 
111          NO_ID  0.09087096774  0.09767741935          0.001    0.031819406   0.0422750228 
112          NO_ID  0.09729032258  0.09767741935          0.001  0.03083815109  0.05222407382 
113          NO_ID   0.1037096774  0.09767741935          0.001  0.03103925925  0.04618147699 
114          NO_ID   0.1101290323  0.09767741935          0.001  0.03255263724  0.05264799364 
115          NO_ID   0.1165483871  0.09767741935          0.001  0.03136333686  0.04602123298 
116          NO_ID   0.1229677419  0.09767741935          0.001  0.03049030537   0.0407667721 
117          NO_ID   0.1293870968  0.09767741935          0.001  0.02985734247  0.04416207863 
118          NO_ID   0.1358064516  0.09767741935          0.001  0.03037350971  0.04586937197 
119          NO_ID   0.1422258065  0.09767741935          0.001  0.03011573966  0.04763884294 
120          NO_ID   0.1486451613  0.09767741935          0.001  0.02908770126  0.04823895984 
121          NO_ID   0.1550645161  0.09767741935          0.001  0.03031743735  0.04045431982 
122          NO_ID    0.161483871  0.09767741935          0.001  0.02944990032  0.03770296919 
123          NO_ID   0.1679032258  0.09767741935          0.001  0.02897494169   0.0447209292 
124          NO_ID   0.1743225806  0.09767741935          0.001   0.0293827999  0.03976038273 
125          NO_ID   0.1807419355  0.09767741935          0.001  0.03015203736  0.04800484683 
126          NO_ID   0.1871612903  0.09767741935          0.001   0.0295744188  0.04126865161 
127          NO_ID   0.1935806452  0.09767741935          0.001  0.02956163558  0.04949624037 
128          NO_ID            0.2  0.09767741935          0.001  0.02788861775  0.04411210188 
129          NO_ID          0.001   0.1299032258          0.001  0.03647216356  0.05364467479 
130          NO_ID 0.007419354839   0.1299032258          0.001  0.03621969754  0.04976429007 
131          NO_ID  0.01383870968   0.1299032258          0.001  0.03591434612  0.05182556281 
132          NO_ID  0.02025806452   0.1299032258          0.001   0.0356740641  0.04819001896 
133          NO_ID  0.02667741935   0.1299032258          0.001  0.03543351614  0.04801867128 
134          NO_ID  0.03309677419   0.1299032258          0.001  0.03446346401   0.0501393678 
135          NO_ID  0.03951612903   0.1299032258          0.001  0.03457281017  0.04873584092 
136          NO_ID  0.04593548387   0.1299032258          0.001  0.03540372421  0.04998487439 
137          NO_ID  0.05235483871   0.1299032258          0.001  0.03507705846  0.04947490204 
138          NO_ID  0.05877419355   0.1299032258          0.001  0.03423501071  0.04916460659 
139          NO_ID  0.06519354839   0.1299032258          0.001  0.03454463595   0.0525007462 
140          NO_ID  0.07161290323   0.1299032258          0.001  0.03419820509  0.05004603082 
141          NO_ID  0.07803225806   0.1299032258          0.001  0.03306567074  0.04647224625 
142          NO_ID   0.0844516129   0.1299032258          0.001  0.03360391278  0.04425895201 
143          NO_ID  0.09087096774   0.1299032258          0.001  0.03348951076  0.04689568703 
144          NO_ID  0.09729032258   0.1299032258          0.001  0.03323133483  0.04726015734 
145          NO_ID   0.1037096774   0.1299032258          0.001  0.03279658924  0.04553560638 
146          NO_ID   0.1101290323   0.1299032258          0.001  0.03324155913  0.04629783145 
147          NO_ID   0.1165483871   0.1299032258          0.001  0.03212069251  0.04611255526 
148          NO_ID   0.1229677419   0.1299032258          0.001  0.03261905199  0.05257000107 
149          NO_ID   0.1293870968   0.1299032258          0.001  0.03223438414   0.0456853774 
150          NO_ID   0.1358064516   0.1299032258          0.001  0.03256692278  0.04536243955 
151          NO_ID   0.1422258065   0.1299032258          0.001  0.03175820126  0.04350157749 
152          NO_ID   0.1486451613   0.1299032258          0.001   0.0310295104  0.04315892117 
153          NO_ID   0.1550645161   0.1299032258          0.001  0.03132024259  0.04917633284 
154          NO_ID    0.161483871   0.1299032258          0.001  0.03167687281  0.04633406127 
155          NO_ID   0.1679032258   0.1299032258          0.001  0.03088811843  0.04122284257 
156          NO_ID   0.1743225806   0.1299032258          0.001  0.03029919438  0.04181609722 
157          NO_ID   0.1807419355   0.1299032258          0.001  0.03074047835  0.04327517176 
158          NO_ID   0.1871612903   0.1299032258          0.001  0.03089494828  0.04478799355 
159          NO_ID   0.1935806452   0.1299032258          0.001  0.03090660936  0.04384361831 
160          NO_ID            0.2   0.1299032258          0.001  0.02973993043  0.04434295965 
